Месяц|Темп Средний минимум|Темп Средняя|Темп Средний максимум|Осадки Норма|твердые|смешанные|жидкие|Ветер|дождь|снег|туман|гроза|метель|гололёд|изморозь|налипание м.с.|сложное отл.|общая|нижняя
1|-13.0|-10.1|-6.8|30|25|2|0.2|5.4|2|27|2|0|20|0.2|13|0.03|0.03|7.5|5.4
2|-12.8|-9.7|-6.7|22|23|1|0.2|5.4|2|26|3|0|20|0.1|10|0.1|0|7.2|4.6
3|-8.6|-5.5|-2.4|23|22|2|1|4.9|3|24|3|0|14|0.1|6|0.03|0.03|7.3|4.7
4|-3.8|-0.7|2.6|24|14|6|3|4.5|9|19|1|0|8|0.03|1|0.03|0|7.5|4.8
5|1.1|4.0|7.6|36|7|8|11|4.3|18|14|1|0.2|1|0.1|0.1|0.3|0.03|8.4|6.5
6|5.7|9.2|13.6|54|1|3|19|4.4|22|4|1|1|0.2|0|0|0|0|8.4|6.6
7|9.2|12.8|17.3|70|0|0|22|4.0|22|0.03|1|2|0|0|0|0|0|8.0|6.3
8|8.0|11.1|14.9|61|0|0.1|23|3.7|22|0.1|2|1|0|0|0.03|0|0|8.3|6.7
9|4.5|7.0|10.0|52|0.2|2|21|4.1|24|2|3|0.04|0.04|0.1|0.2|0.04|0|8.3|6.5
10|-0.4|1.5|3.6|51|9|8|9|4.8|17|16|2|0.03|3|0.1|2|1|0|8.3|6.7
11|-7.1|-4.8|-2.4|38|20|4|2|4.8|5|24|2|0.1|10|0.2|9|0.3|0|8.0|6.3
12|-11.2|-8.2|-5.3|34|24|3|0.4|5.2|3|27|2|0|18|0.3|11|0.1|0.3|7.6|5.9
